"2018-11-23 12:40:14 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.s.p.ModelPropertiesKeyGenerator - Cache key generated: com.cit.restapi.rfidpanel.dto.AccessEventDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.cit.restapi.rfidpanel.dto.AccessEventDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.s.p.ModelPropertiesKeyGenerator - Cache key generated: com.cit.restapi.rfidpanel.dto.LocationDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.cit.restapi.rfidpanel.dto.LocationDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.s.p.ModelPropertiesKeyGenerator - Cache key generated: com.cit.restapi.rfidpanel.dto.CoordinatesDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.cit.restapi.rfidpanel.dto.CoordinatesDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.s.p.ModelPropertiesKeyGenerator - Cache key generated: com.cit.restapi.rfidpanel.dto.AccessEventDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.cit.restapi.rfidpanel.dto.AccessEventDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.s.p.ModelPropertiesKeyGenerator - Cache key generated: com.cit.restapi.rfidpanel.dto.LocationDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.cit.restapi.rfidpanel.dto.LocationDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.s.p.ModelPropertiesKeyGenerator - Cache key generated: com.cit.restapi.rfidpanel.dto.CoordinatesDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.cit.restapi.rfidpanel.dto.CoordinatesDto(true)
""2018-11-23 12:40:17 [restartedMain] INFO  s.d.s.web.OperationsKeyGenerator - Cache key generated: /api/panels/addprev.com.cit.restapi.validationrequest.RfidPanelPreviousResource.getAddPreviousForTesting.DefaultGenericTypeNamingStrategy
